city,terrain
New York,urban
Los Angeles,urban
Chicago,urban
Houston,urban
Phoenix,urban
Philadelphia,urban
San Antonio,urban
San Diego,beach
Dallas,urban
San Jose,urban
Austin,urban
Jacksonville,beach
San Francisco,urban
Fort Worth,urban
Charlotte,urban
Seattle,forest
Denver,mountain
Washington,urban
Boston,urban
El Paso,urban
Nashville,urban
Detroit,urban
Oklahoma City,urban
Portland,forest
Las Vegas,desert
Memphis,urban
Louisville,urban
Baltimore,urban
Milwaukee,urban
Albuquerque,desert
Tucson,desert
Fresno,urban
Sacramento,urban
Kansas City,urban
Long Beach,beach
Mesa,desert
Atlanta,urban
Colorado Springs,mountain
Raleigh,urban
Omaha,urban
Miami,beach
Oakland,urban
Minneapolis,urban
Tulsa,urban
Cleveland,urban
Wichita,urban
Arlington,urban
New Orleans,urban
Bakersfield,urban
